date,open,high,low,close,volume,symbol
2025-01-03,140.01,144.9,139.73,144.47,229322478.0,NVDA
2025-01-06,148.59,152.156,147.8201,149.43,265377359.0,NVDA
2025-01-07,153.03,153.13,140.01,140.14,351782174.0,NVDA
2025-01-08,142.58,143.95,137.56,140.11,227349948.0,NVDA
2025-01-10,137.45,139.92,134.22,135.91,207602514.0,NVDA
2025-01-13,129.99,133.49,129.51,133.23,204808914.0,NVDA
2025-01-14,136.05,136.38,130.05,131.76,195590485.0,NVDA
2025-01-15,133.65,136.45,131.29,136.24,185217338.0,NVDA
2025-01-16,138.64,138.75,133.49,133.57,209235583.0,NVDA
2025-01-17,136.69,138.5,135.4649,137.71,201188760.0,NVDA
2025-01-21,139.16,141.83,137.09,140.83,197748985.0,NVDA
2025-01-22,144.66,147.79,143.67,147.07,237651395.0,NVDA
2025-01-23,145.05,147.23,143.72,147.22,155915549.0,NVDA
2025-01-24,148.37,148.97,141.88,142.62,234657635.0,NVDA
2025-01-27,124.8,128.4,116.7,118.42,818830895.0,NVDA
2025-01-28,121.81,129.0,116.25,128.99,579666350.0,NVDA
2025-01-29,126.5,126.89,120.05,123.7,467120640.0,NVDA
2025-01-30,123.1,125.0,118.1,124.65,392925469.0,NVDA
2025-01-31,123.78,127.85,119.19,120.07,390372899.0,NVDA
2025-02-03,114.75,118.57,113.01,116.66,371235677.0,NVDA
2025-02-04,116.96,121.2,116.7,118.65,256550040.0,NVDA
2025-02-05,121.76,125.0,120.76,124.83,263110629.0,NVDA
2025-02-06,127.42,128.77,125.21,128.68,251483574.0,NVDA
2025-02-07,129.22,130.37,125.0,129.84,228186298.0,NVDA
2025-02-10,130.09,135.0,129.96,133.57,216989086.0,NVDA
2025-02-11,132.58,134.48,131.02,132.8,178902379.0,NVDA
2025-02-12,130.02,132.24,129.08,131.14,160278552.0,NVDA
2025-02-13,131.555,136.5,131.17,135.29,197429975.0,NVDA
2025-02-14,136.48,139.25,135.5,138.85,195479557.0,NVDA
2025-02-18,141.27,143.44,137.925,139.4,219176627.0,NVDA
2025-02-19,139.51,141.36,137.22,139.23,167536006.0,NVDA
2025-02-20,140.03,140.66,136.7901,140.11,143903583.0,NVDA
2025-02-21,140.04,141.46,134.03,134.43,228217585.0,NVDA
2025-02-24,136.56,138.59,130.08,130.28,251381137.0,NVDA
2025-02-25,129.98,130.2,124.44,126.63,271428711.0,NVDA
2025-02-26,129.985,133.73,128.49,131.28,322553814.0,NVDA
2025-02-27,135.0,135.01,120.01,120.15,443175846.0,NVDA
2025-02-28,118.02,125.09,116.4,124.92,389091145.0,NVDA
2025-03-03,123.51,123.7,112.28,114.06,411381373.0,NVDA
2025-03-04,110.645,119.31,110.11,115.99,398163305.0,NVDA
2025-03-05,117.58,118.2781,114.51,117.3,284337886.0,NVDA
2025-03-06,113.53,115.35,110.22,110.57,321181861.0,NVDA
2025-03-07,111.25,113.48,107.56,112.69,341755468.0,NVDA
2025-03-10,109.9,111.85,105.46,106.98,361107562.0,NVDA
2025-03-11,106.99,112.236,104.77,108.76,354865692.0,NVDA
2025-03-12,114.12,116.76,112.88,115.74,323857454.0,NVDA
2025-03-13,117.03,117.76,113.79,115.58,299033131.0,NVDA
2025-03-14,118.61,121.88,118.15,121.67,277593455.0,NVDA
2025-03-17,122.74,122.89,118.03,119.53,255501481.0,NVDA
2025-03-18,118.0,119.02,114.54,115.43,299686944.0,NVDA
2025-03-19,117.27,120.445,115.68,117.52,273426225.0,NVDA
2025-03-20,116.55,120.2,116.47,118.53,248829749.0,NVDA
2025-03-21,116.94,117.99,115.42,117.7,266498528.0,NVDA
2025-03-24,119.88,122.22,119.34,121.41,228452534.0,NVDA
2025-03-25,120.545,121.29,118.92,120.69,167447198.0,NVDA
2025-03-26,118.73,118.84,112.71,113.76,296431667.0,NVDA
2025-03-27,111.35,114.45,110.66,111.43,236902055.0,NVDA
2025-03-28,111.485,112.87,109.0701,109.67,229872549.0,NVDA
2025-03-31,105.13,110.955,103.65,108.38,299212653.0,NVDA
2025-04-01,108.515,110.2,106.47,110.15,222614034.0,NVDA
2025-04-02,107.29,111.98,106.79,110.42,220601243.0,NVDA
2025-04-03,103.51,105.63,101.6,101.8,338769412.0,NVDA
2025-04-04,98.91,100.13,92.11,94.31,532273810.0,NVDA
2025-04-07,87.46,101.75,86.62,97.64,611041347.0,NVDA
2025-04-08,103.805,105.85,94.46,96.3,476243392.0,NVDA
2025-04-09,98.89,115.1,97.5301,114.33,612918336.0,NVDA
2025-04-10,109.37,110.86,99.15,107.57,437812353.0,NVDA
2025-04-11,108.5,111.5499,107.48,110.93,313417265.0,NVDA
2025-04-14,114.11,114.29,109.07,110.71,264705049.0,NVDA
2025-04-15,110.97,113.615,110.5,112.2,228966900.0,NVDA
2025-04-16,104.55,106.79,100.45,104.49,397016870.0,NVDA
2025-04-17,104.45,104.47,100.05,101.49,292517465.0,NVDA
2025-04-21,98.77,99.44,95.04,96.91,288501136.0,NVDA
2025-04-22,98.78,99.811,97.28,98.89,241004784.0,NVDA
2025-04-23,104.52,104.8,102.02,102.71,247525971.0,NVDA
2025-04-24,103.475,106.54,103.11,106.43,220815041.0,NVDA
2025-04-25,106.85,111.92,105.73,111.01,251064672.0,NVDA
2025-04-28,109.69,110.3699,106.02,108.73,207708479.0,NVDA
2025-04-29,107.67,110.1999,107.44,109.02,170444263.0,NVDA
2025-04-30,104.47,108.92,104.08,108.92,235044611.0,NVDA
2025-05-01,113.08,114.94,111.3,111.61,236121507.0,NVDA
2025-05-02,114.18,115.4,113.37,114.5,190194778.0,NVDA
2025-05-05,112.905,114.665,112.66,113.82,133163241.0,NVDA
2025-05-06,111.48,114.74,110.822,113.54,158525621.0,NVDA
2025-05-07,113.045,117.68,112.2818,117.06,207827821.0,NVDA
2025-05-08,118.25,118.68,115.85,117.37,198428122.0,NVDA
2025-05-09,117.35,118.23,115.21,116.65,132972189.0,NVDA
2025-05-12,121.97,123.0,120.28,123.0,225023345.0,NVDA
2025-05-13,124.98,131.2189,124.47,129.93,330430105.0,NVDA
2025-05-14,133.195,135.435,131.68,135.34,281180830.0,NVDA
2025-05-15,134.295,136.3,132.66,134.83,226632563.0,NVDA
2025-05-16,136.22,136.35,133.46,135.4,226542451.0,NVDA
2025-05-19,132.39,135.87,132.39,135.57,193154571.0,NVDA
2025-05-20,134.29,134.58,132.62,134.38,161514247.0,NVDA
2025-05-21,133.06,137.4,130.59,131.8,270608738.0,NVDA
2025-05-22,132.23,134.25,131.55,132.83,187343954.0,NVDA
2025-05-23,130.0,132.68,129.16,131.29,198821324.0,NVDA
2025-05-27,134.15,135.66,133.31,135.5,192953613.0,NVDA
2025-05-28,136.025,137.25,134.79,134.81,304021146.0,NVDA
2025-05-29,142.245,143.49,137.91,139.19,370615167.0,NVDA
