date,open,high,low,close,volume,symbol,rsi,sma,month,month_name,weekday_name
2025-02-21,185.15,185.34,179.08,179.66,35199239.0,GOOGL,37.051,188.0525,2,February,Friday
2025-02-24,181.99,183.12,178.885,179.25,29854206.0,GOOGL,36.6463,186.4844,2,February,Monday
2025-02-25,178.04,178.74,174.6939,175.42,41913411.0,GOOGL,33.0182,184.2757,2,February,Tuesday
2025-02-26,175.07,176.08,171.5807,172.73,35431268.0,GOOGL,30.718,182.9487,2,February,Wednesday
2025-02-27,173.99,174.56,167.94,168.5,39991015.0,GOOGL,27.4764,181.3007,2,February,Thursday
2025-02-28,168.68,170.61,166.77,170.28,48130565.0,GOOGL,30.7863,180.2263,2,February,Friday
2025-03-03,171.925,173.37,165.93,167.01,40770451.0,GOOGL,28.2368,178.8379,3,March,Monday
2025-03-04,166.24,173.2946,165.8,170.92,45387996.0,GOOGL,35.1522,177.8106,3,March,Tuesday
2025-03-05,170.52,173.78,169.06,173.02,30954922.0,GOOGL,38.5758,177.0551,3,March,Wednesday
2025-03-06,170.53,174.81,170.5,172.35,28301953.0,GOOGL,37.8885,176.0713,3,March,Thursday
2025-03-07,171.26,174.97,170.27,173.86,27385813.0,GOOGL,40.463,175.2601,3,March,Friday
2025-03-10,168.26,168.46,163.69,165.87,43377356.0,GOOGL,32.8891,173.9973,3,March,Monday
2025-03-11,164.91,166.75,161.37,164.04,39587414.0,GOOGL,31.4004,172.4969,3,March,Tuesday
2025-03-12,166.58,167.6399,163.53,167.11,28372396.0,GOOGL,36.5862,171.2663,3,March,Wednesday
2025-03-13,166.035,166.13,162.11,162.76,31756214.0,GOOGL,32.8023,170.0746,3,March,Thursday
2025-03-14,163.27,166.49,162.45,165.49,31995894.0,GOOGL,37.1926,169.1072,3,March,Friday
2025-03-17,165.03,166.3,163.67,164.29,31184335.0,GOOGL,36.0768,168.3273,3,March,Monday
2025-03-18,163.675,164.25,156.72,160.67,42074751.0,GOOGL,32.8731,167.4807,3,March,Tuesday
2025-03-19,161.76,165.87,161.0,163.89,34275582.0,GOOGL,38.1357,167.1659,3,March,Wednesday
2025-03-20,161.57,164.89,160.96,162.8,28138464.0,GOOGL,37.0761,166.6463,3,March,Thursday
2025-03-21,161.205,164.24,160.8901,163.99,36625764.0,GOOGL,39.0667,166.4449,3,March,Friday
2025-03-24,167.065,168.32,165.14,167.68,30879129.0,GOOGL,44.8888,166.2282,3,March,Monday
2025-03-25,168.98,170.63,168.315,170.56,24174373.0,GOOGL,48.9857,166.0674,3,March,Tuesday
2025-03-26,169.0,169.61,164.84,165.06,28939326.0,GOOGL,42.4895,165.5615,3,March,Wednesday
2025-03-27,164.63,165.42,162.0,162.24,24508273.0,GOOGL,39.5905,164.7464,3,March,Thursday
2025-03-28,160.49,161.82,153.63,154.33,48669335.0,GOOGL,32.8252,163.9221,3,March,Friday
2025-03-31,153.11,155.54,150.662,154.64,54603464.0,GOOGL,33.3062,163.2507,3,March,Monday
2025-04-01,153.62,158.1,153.62,157.07,30672899.0,GOOGL,37.1078,162.5336,4,April,Tuesday
2025-04-02,155.15,158.4052,154.7,157.04,25041730.0,GOOGL,37.0797,162.125,4,April,Wednesday
2025-04-03,151.11,152.7799,150.39,150.72,46883371.0,GOOGL,31.6432,161.07,4,April,Thursday
2025-04-04,148.01,151.07,145.38,145.6,62259539.0,GOOGL,28.0546,159.735,4,April,Friday
2025-04-07,141.55,152.85,140.53,146.75,76794136.0,GOOGL,29.9755,158.7407,4,April,Monday
2025-04-08,151.22,152.24,143.03,144.7,52200208.0,GOOGL,28.514,157.37,4,April,Tuesday
2025-04-09,144.415,159.55,143.905,158.71,70406232.0,GOOGL,47.392,157.0779,4,April,Wednesday
2025-04-10,156.54,157.72,149.93,152.82,48021972.0,GOOGL,42.3308,156.28,4,April,Thursday
2025-04-11,152.9,157.67,152.82,157.14,33636239.0,GOOGL,46.817,155.5271,4,April,Friday
2025-04-14,159.995,161.72,157.56,159.07,30332957.0,GOOGL,48.7357,154.7064,4,April,Monday
2025-04-15,159.125,159.65,155.21,156.31,27551534.0,GOOGL,46.1704,154.0814,4,April,Tuesday
2025-04-16,153.1,155.89,151.51,153.33,28187421.0,GOOGL,43.5076,153.445,4,April,Wednesday
2025-04-17,154.29,154.68,148.5,151.16,33046576.0,GOOGL,41.625,153.2186,4,April,Thursday
2025-04-21,148.88,148.945,146.1,147.67,26049115.0,GOOGL,38.7229,152.7207,4,April,Monday
2025-04-22,148.89,152.19,148.54,151.47,26971774.0,GOOGL,43.3539,152.3207,4,April,Tuesday
2025-04-23,155.61,157.525,153.81,155.35,31128833.0,GOOGL,47.7,152.2,4,April,Wednesday
2025-04-24,156.15,159.59,155.79,159.28,45893951.0,GOOGL,51.7391,152.8114,4,April,Thursday
2025-04-25,165.07,166.1,161.04,161.96,56033995.0,GOOGL,54.3293,153.98,4,April,Friday
2025-04-28,162.425,163.15,158.6,160.61,29745782.0,GOOGL,52.7922,154.97,4,April,Monday
2025-04-29,160.325,160.74,157.52,160.16,26808958.0,GOOGL,52.2615,156.0743,4,April,Tuesday
2025-04-30,157.975,159.27,155.4,158.8,34981059.0,GOOGL,50.6055,156.0807,4,April,Wednesday
2025-05-01,160.45,161.95,158.91,161.3,30203248.0,GOOGL,53.521,156.6864,5,May,Thursday
2025-05-02,163.405,164.97,161.87,164.03,25715005.0,GOOGL,56.5378,157.1786,5,May,Friday
2025-05-05,163.0,165.39,162.72,164.21,21341814.0,GOOGL,56.7372,157.5457,5,May,Monday
2025-05-06,162.17,164.8,161.19,163.23,21277210.0,GOOGL,55.251,158.04,5,May,Tuesday
2025-05-07,164.08,165.0,147.84,151.38,127747554.0,GOOGL,41.1984,157.9007,5,May,Wednesday
2025-05-08,155.0,155.93,152.9,154.28,57498692.0,GOOGL,44.8923,158.1236,5,May,Thursday
2025-05-09,154.17,155.05,152.2,152.75,32435281.0,GOOGL,43.3452,158.4864,5,May,Friday
2025-05-12,157.485,159.1,156.25,158.46,44138818.0,GOOGL,50.2378,158.9857,5,May,Monday
2025-05-13,158.79,160.57,156.16,159.53,42382126.0,GOOGL,51.4303,159.2843,5,May,Tuesday
2025-05-14,159.96,167.0,159.61,165.37,48755869.0,GOOGL,57.4267,159.7193,5,May,Wednesday
2025-05-15,165.84,166.205,162.3732,163.96,33146669.0,GOOGL,55.6406,159.8621,5,May,Thursday
2025-05-16,167.725,169.35,165.62,166.19,42846925.0,GOOGL,57.8723,160.2607,5,May,Friday
2025-05-19,164.51,166.64,164.22,166.54,30426097.0,GOOGL,58.2275,160.7164,5,May,Monday
2025-05-20,166.43,168.5,162.9,163.98,46607656.0,GOOGL,54.6011,161.0864,5,May,Tuesday
2025-05-21,163.69,173.14,163.56,168.56,73415956.0,GOOGL,59.465,161.605,5,May,Wednesday
2025-05-22,171.85,176.77,170.71,170.87,74864418.0,GOOGL,61.6942,162.0936,5,May,Thursday
2025-05-23,169.055,169.96,167.89,168.47,35211439.0,GOOGL,58.1181,162.3979,5,May,Friday
2025-05-27,170.16,173.17,170.0,172.9,37995670.0,GOOGL,62.4453,163.0886,5,May,Tuesday
2025-05-28,173.16,175.265,171.9107,172.36,34783997.0,GOOGL,61.6097,164.5871,5,May,Wednesday
2025-05-29,174.0,174.4193,170.63,171.86,29373803.0,GOOGL,60.7984,165.8429,5,May,Thursday
2025-01-03,222.505,225.36,221.62,224.19,27515606.0,AMZN,55.6561,225.02,1,January,Friday
2025-01-06,226.78,228.835,224.84,227.61,31849831.0,AMZN,59.2855,225.0307,1,January,Monday
2025-01-07,227.9,228.381,221.46,222.11,28084164.0,AMZN,51.925,224.2579,1,January,Tuesday
2025-01-08,223.185,223.52,220.2,222.13,25033292.0,AMZN,51.9484,223.6136,1,January,Wednesday
2025-01-10,221.46,221.71,216.5,218.94,36811525.0,AMZN,47.9462,223.5007,1,January,Friday
2025-01-13,218.06,219.4,216.47,218.46,27262655.0,AMZN,47.355,223.1557,1,January,Monday
2025-01-14,220.44,221.82,216.2,217.76,24711650.0,AMZN,46.4554,222.6443,1,January,Tuesday
2025-01-15,222.83,223.57,220.75,223.35,31291257.0,AMZN,53.9748,222.5221,1,January,Wednesday
2025-01-16,224.42,224.65,220.31,220.66,24757276.0,AMZN,50.3131,221.9229,1,January,Thursday
2025-01-17,225.84,226.51,223.08,225.94,42370123.0,AMZN,56.5446,221.8436,1,January,Friday
2025-01-21,228.9,231.78,226.94,230.71,39951456.0,AMZN,61.2703,222.3407,1,January,Tuesday
2025-01-22,232.02,235.44,231.19,235.01,41448217.0,AMZN,64.9686,223.32,1,January,Wednesday
2025-01-23,234.1,235.52,231.51,235.42,26404364.0,AMZN,65.3088,224.465,1,January,Thursday
2025-01-24,234.5,236.4,232.93,234.85,25890738.0,AMZN,64.373,225.51,1,January,Friday
2025-01-27,226.21,235.61,225.86,235.42,49428332.0,AMZN,64.9144,226.3121,1,January,Monday
2025-01-28,234.29,241.77,233.98,238.15,41587188.0,AMZN,67.4647,227.065,1,January,Tuesday
2025-01-29,239.015,240.39,236.15,237.07,26091716.0,AMZN,65.4382,228.1336,1,January,Wednesday
2025-01-30,237.14,237.95,232.22,234.64,32020728.0,AMZN,60.9985,229.0271,1,January,Thursday
2025-01-31,236.5,240.29,236.41,237.68,36162377.0,AMZN,64.2649,230.3657,1,January,Friday
2025-02-03,234.06,239.25,232.9,237.42,37285868.0,AMZN,63.773,231.72,2,February,Monday
2025-02-04,239.01,242.52,238.03,242.06,29713812.0,AMZN,68.4191,233.4557,2,February,Tuesday
2025-02-05,237.02,238.32,235.2,236.17,38832042.0,AMZN,58.213,234.3714,2,February,Wednesday
2025-02-06,238.01,239.6599,236.01,238.83,60897095.0,AMZN,61.0396,235.6693,2,February,Thursday
2025-02-07,232.5,234.81,228.06,229.15,77539276.0,AMZN,48.2492,235.8986,2,February,Friday
2025-02-10,230.545,233.92,229.2,233.14,35419926.0,AMZN,52.6532,236.0721,2,February,Monday
2025-02-11,231.92,233.44,230.13,232.76,23713726.0,AMZN,52.1976,235.9114,2,February,Tuesday
2025-02-12,230.46,231.18,228.16,228.93,32285249.0,AMZN,47.7161,235.4479,2,February,Wednesday
2025-02-13,228.85,230.42,227.52,230.37,31346512.0,AMZN,49.4726,235.1279,2,February,Thursday
2025-02-14,229.2,229.89,227.23,228.68,27031084.0,AMZN,47.4576,234.6464,2,February,Friday
2025-02-18,228.82,229.3,223.72,226.65,42975133.0,AMZN,45.0822,233.825,2,February,Tuesday
2025-02-19,225.52,226.83,223.71,226.63,28566709.0,AMZN,45.0583,233.0793,2,February,Wednesday
2025-02-20,224.775,225.13,221.81,222.88,30001665.0,AMZN,40.6967,232.2393,2,February,Thursday
2025-02-21,223.28,223.31,214.74,216.58,55323850.0,AMZN,34.6316,230.7321,2,February,Friday
2025-02-24,217.45,217.715,212.42,212.71,42387585.0,AMZN,31.5236,228.9671,2,February,Monday
2025-02-25,211.63,213.34,204.16,212.8,58957977.0,AMZN,31.6772,226.8771,2,February,Tuesday
2025-02-26,214.94,218.16,213.09,214.35,39120603.0,AMZN,34.4054,225.3186,2,February,Wednesday
2025-02-27,218.35,219.97,208.37,208.74,40548571.0,AMZN,29.7716,223.1693,2,February,Thursday
2025-02-28,208.65,212.62,206.99,212.28,51771737.0,AMZN,35.6603,221.9643,2,February,Friday
2025-03-03,213.352,214.01,202.55,205.02,42948447.0,AMZN,30.0882,219.9557,3,March,Monday
2025-03-04,200.11,206.8,197.432,203.8,60853084.0,AMZN,29.2608,217.8871,3,March,Tuesday
2025-03-05,204.8,209.98,203.26,208.36,38610085.0,AMZN,36.3107,216.4179,3,March,Wednesday
2025-03-06,204.4,205.77,198.3015,200.7,49863755.0,AMZN,30.7642,214.2986,3,March,Thursday
2025-03-07,199.49,202.2653,192.53,199.25,59802821.0,AMZN,29.8352,212.1964,3,March,Friday
2025-03-10,195.6,196.73,190.85,194.54,61829231.0,AMZN,26.9845,209.9029,3,March,Monday
2025-03-11,193.9,200.18,193.4,196.59,54002880.0,AMZN,30.1144,207.7571,3,March,Tuesday
2025-03-12,200.72,201.52,195.29,198.89,43679284.0,AMZN,33.5556,206.0436,3,March,Wednesday
2025-03-13,198.165,198.8799,191.82,193.89,41270761.0,AMZN,30.0871,204.4229,3,March,Thursday
2025-03-14,197.41,198.65,195.32,197.95,38096663.0,AMZN,35.8827,203.3686,3,March,Friday
2025-03-17,198.77,199.0,194.3247,195.74,47341752.0,AMZN,34.2198,202.15,3,March,Monday
2025-03-18,192.52,194.0,189.38,192.82,40414867.0,AMZN,32.1029,200.6121,3,March,Tuesday
2025-03-19,193.38,195.965,191.96,195.54,39442878.0,AMZN,36.0702,199.6693,3,March,Wednesday
2025-03-20,193.07,199.32,192.3,194.95,38921113.0,AMZN,35.5845,198.4314,3,March,Thursday
2025-03-21,192.9,196.99,192.52,196.21,60056917.0,AMZN,37.5194,197.8021,3,March,Friday
2025-03-24,200.0,203.64,199.95,203.26,41625365.0,AMZN,47.0953,197.7636,3,March,Monday
2025-03-25,203.595,206.21,203.22,205.71,31171161.0,AMZN,49.9652,197.5743,3,March,Tuesday
2025-03-26,205.835,206.01,199.925,201.13,32990973.0,AMZN,45.0458,197.605,3,March,Wednesday
2025-03-27,200.89,203.79,199.2821,201.36,27317661.0,AMZN,45.3369,197.7557,3,March,Thursday
2025-03-28,198.42,199.26,191.881,192.72,52548226.0,AMZN,37.3368,197.6257,3,March,Friday
2025-03-31,188.19,191.33,184.4,190.26,63547558.0,AMZN,35.4204,197.1736,3,March,Monday
2025-04-01,187.86,193.93,187.2,192.17,41267315.0,AMZN,38.078,196.6936,4,April,Tuesday
2025-04-02,187.66,198.34,187.66,196.01,53679198.0,AMZN,43.1439,196.845,4,April,Wednesday
2025-04-03,182.995,184.13,176.92,178.41,95553617.0,AMZN,30.7334,195.4493,4,April,Thursday
2025-04-04,167.145,178.1436,166.0,171.0,123159359.0,AMZN,27.1875,193.6821,4,April,Friday
2025-04-07,162.0,183.4099,161.38,175.26,109327115.0,AMZN,32.0419,192.4279,4,April,Monday
2025-04-08,185.23,185.9,168.57,170.66,87710360.0,AMZN,29.7365,190.6507,4,April,Tuesday
2025-04-09,172.115,192.65,169.93,191.1,116804328.0,AMZN,47.7324,190.3757,4,April,Wednesday
2025-04-10,185.44,186.8692,175.8518,181.22,68302045.0,AMZN,42.1172,189.305,4,April,Thursday
2025-04-11,179.93,185.86,178.0,184.87,50594339.0,AMZN,44.7051,187.9914,4,April,Friday
2025-04-14,186.84,187.44,179.23,182.12,48002540.0,AMZN,43.1401,186.3064,4,April,Monday
2025-04-15,181.41,182.35,177.9331,179.59,43641952.0,AMZN,41.694,184.7679,4,April,Tuesday
2025-04-16,176.29,179.1046,171.41,174.33,51875316.0,AMZN,38.7832,182.8371,4,April,Wednesday
2025-04-17,176.0,176.21,172.0,172.61,44726453.0,AMZN,37.8526,181.4007,4,April,Thursday
2025-04-21,169.6,169.6,165.285,167.32,48126111.0,AMZN,35.0658,179.7621,4,April,Monday
2025-04-22,169.845,176.78,169.35,173.18,56607202.0,AMZN,40.3085,178.4057,4,April,Tuesday
2025-04-23,183.45,187.38,180.19,180.6,63470149.0,AMZN,46.2286,177.305,4,April,Wednesday
2025-04-24,180.915,186.74,180.18,186.54,43763196.0,AMZN,50.464,177.8857,4,April,Thursday
2025-04-25,187.62,189.94,185.49,188.99,36414330.0,AMZN,52.1386,179.1707,4,April,Friday
2025-04-28,190.105,190.22,184.885,187.7,33224732.0,AMZN,51.158,180.0593,4,April,Monday
2025-04-29,183.99,188.0158,183.68,187.39,41667255.0,AMZN,50.9102,181.2543,4,April,Tuesday
2025-04-30,182.17,185.05,178.85,184.42,55176543.0,AMZN,48.4869,180.7771,4,April,Wednesday
2025-05-01,190.63,191.8071,187.5,190.2,74265963.0,AMZN,53.1596,181.4186,5,May,Thursday
2025-05-02,191.435,192.88,186.4,189.98,77903487.0,AMZN,52.9627,181.7836,5,May,Friday
2025-05-05,186.51,188.18,185.53,186.35,35217469.0,AMZN,49.6918,182.0857,5,May,Monday
2025-05-06,184.57,187.93,183.85,185.01,29314055.0,AMZN,48.501,182.4729,5,May,Tuesday
2025-05-07,185.56,190.99,185.01,188.71,44002926.0,AMZN,51.9266,183.5,5,May,Wednesday
2025-05-08,191.43,194.33,188.82,192.08,41043620.0,AMZN,54.871,184.8907,5,May,Thursday
2025-05-09,193.375,194.69,191.16,193.06,29663143.0,AMZN,55.7204,186.7293,5,May,Friday
2025-05-12,210.71,211.66,205.75,208.64,75205042.0,AMZN,66.5112,189.2621,5,May,Monday
2025-05-13,211.08,214.84,210.1,211.37,56193682.0,AMZN,67.9835,191.46,5,May,Tuesday
2025-05-14,211.45,211.93,208.85,210.25,38492128.0,AMZN,66.6882,193.1536,5,May,Wednesday
2025-05-15,206.45,206.88,202.673,205.17,64347317.0,AMZN,61.0098,194.3093,5,May,Thursday
2025-05-16,206.85,206.85,204.374,205.59,43318478.0,AMZN,61.3032,195.5871,5,May,Friday
2025-05-19,201.645,206.62,201.26,206.16,34314810.0,AMZN,61.7241,196.9279,5,May,Monday
2025-05-20,204.628,205.5899,202.65,204.07,29470373.0,AMZN,59.1822,198.3314,5,May,Tuesday
2025-05-21,201.61,203.455,200.06,201.12,42460924.0,AMZN,55.6956,199.1114,5,May,Wednesday
2025-05-22,201.38,205.76,200.16,203.1,38938882.0,AMZN,57.5052,200.0486,5,May,Thursday
2025-05-23,198.9,202.37,197.85,200.99,33393545.0,AMZN,54.9304,201.0943,5,May,Friday
2025-05-27,203.085,206.69,202.19,206.02,34892044.0,AMZN,59.5769,202.595,5,May,Tuesday
2025-05-28,205.915,207.66,204.41,204.72,28549753.0,AMZN,57.9151,203.7386,5,May,Wednesday
2025-05-29,208.025,208.81,204.23,205.7,34700005.0,AMZN,58.847,204.7114,5,May,Thursday
2025-01-03,604.76,609.5,596.4136,604.63,11436784.0,META,53.145,601.8317,1,January,Friday
2025-01-06,611.825,630.99,605.62,630.2,14560754.0,META,62.3198,602.5701,1,January,Monday
2025-01-07,631.7,632.1011,608.23,617.89,12071479.0,META,56.5761,602.1169,1,January,Tuesday
2025-01-08,613.395,616.4397,602.79,610.72,10085846.0,META,53.4842,601.4946,1,January,Wednesday
2025-01-10,610.03,629.91,597.34,615.86,19256564.0,META,55.3673,602.827,1,January,Friday
2025-01-13,607.1,608.97,598.445,608.33,10785031.0,META,52.0433,603.7376,1,January,Monday
2025-01-14,605.065,605.49,588.55,594.25,13597992.0,META,46.4302,604.3799,1,January,Tuesday
2025-01-15,610.21,622.46,606.5,617.12,15524302.0,META,54.9327,605.6124,1,January,Wednesday
2025-01-16,611.5,616.25,609.71,611.3,8355349.0,META,52.6429,605.8658,1,January,Thursday
2025-01-17,624.05,624.97,603.67,612.77,17280600.0,META,53.1738,606.5381,1,January,Friday
2025-01-21,617.825,621.5,609.0082,616.46,11674016.0,META,54.5513,607.7263,1,January,Tuesday
2025-01-22,623.3,633.7,619.435,623.5,12274011.0,META,57.1416,610.0286,1,January,Wednesday
2025-01-23,627.36,636.6,621.15,636.45,9910163.0,META,61.4896,613.664,1,January,Thursday
2025-01-24,636.4,652.0,634.2,647.49,19065329.0,META,64.7708,617.1075,1,January,Friday
2025-01-27,626.61,663.87,625.1,659.88,28399190.0,META,68.06,621.0505,1,January,Monday
2025-01-28,666.0,682.58,659.465,674.33,20950107.0,META,71.4123,624.1999,1,January,Tuesday
2025-01-29,675.0,681.0459,665.67,676.49,21377820.0,META,71.8873,628.382,1,January,Wednesday
2025-01-30,696.82,710.79,676.1,687.0,29322898.0,META,74.1388,633.8259,1,January,Thursday
2025-01-31,691.0,705.2999,685.58,689.18,19331660.0,META,74.5934,639.0585,1,January,Friday
2025-02-03,675.91,704.0,675.25,697.46,21415739.0,META,76.2974,645.4195,2,February,Monday
2025-02-04,702.5,707.71,691.61,704.19,13826270.0,META,77.6118,653.2655,2,February,Tuesday
2025-02-05,703.55,718.14,699.01,704.87,17793766.0,META,77.746,659.528,2,February,Wednesday
2025-02-06,705.88,718.9,703.5,711.99,13080690.0,META,79.1557,666.7139,2,February,Thursday
2025-02-07,716.795,725.01,711.75,714.52,16427067.0,META,79.6491,673.9755,2,February,Friday
2025-02-10,718.56,721.2,711.33,717.4,12904317.0,META,80.2229,681.1793,2,February,Monday
2025-02-11,713.32,723.66,710.04,719.8,12997959.0,META,80.7109,688.0519,2,February,Tuesday
2025-02-12,715.3,727.1,712.6,725.38,12016517.0,META,81.8335,694.3986,2,February,Wednesday
2025-02-13,721.5197,729.0,718.04,728.56,12569064.0,META,82.46,700.1843,2,February,Thursday
2025-02-14,726.14,740.91,725.62,736.67,16901249.0,META,83.9775,705.6646,2,February,Friday
2025-02-18,736.0,737.0,706.44,716.37,21938703.0,META,68.096,708.6648,2,February,Tuesday
2025-02-19,704.095,707.0,695.39,703.77,17535480.0,META,60.4539,710.6117,2,February,Wednesday
2025-02-20,697.275,705.63,693.64,694.84,12587408.0,META,55.6842,711.1712,2,February,Thursday
2025-02-21,696.58,703.87,682.36,683.55,15660355.0,META,50.2827,710.7694,2,February,Friday
2025-02-24,686.28,687.27,662.45,668.13,15676994.0,META,44.0043,708.6762,2,February,Monday
2025-02-25,665.972,668.0,641.86,657.5,20579662.0,META,40.2713,705.3441,2,February,Tuesday
2025-02-26,659.65,683.0078,658.0,673.7,14488705.0,META,47.571,703.1196,2,February,Wednesday
2025-02-27,682.45,688.6469,657.57,658.24,12500013.0,META,42.2626,699.2836,2,February,Thursday
2025-02-28,658.04,669.63,642.6017,668.2,17534168.0,META,46.4114,695.9779,2,February,Friday
2025-03-03,673.675,681.25,650.8439,655.05,10843763.0,META,42.1092,691.5282,3,March,Monday
2025-03-04,645.51,649.75,623.65,640.0,21495208.0,META,37.7915,685.8331,3,March,Tuesday
2025-03-05,641.0,659.5,637.66,656.47,13770026.0,META,44.4984,680.9152,3,March,Wednesday
2025-03-06,648.0,650.5625,624.11,627.93,13446454.0,META,37.0451,673.7336,3,March,Thursday
2025-03-07,625.37,634.79,600.61,625.66,21375671.0,META,36.5211,665.8111,3,March,Friday
2025-03-10,608.07,610.11,586.87,597.99,21395988.0,META,30.8021,657.3627,3,March,Monday
2025-03-11,595.055,614.934,593.33,605.71,17401469.0,META,33.9116,650.3645,3,March,Tuesday
2025-03-12,629.9,633.33,609.35,619.56,15746966.0,META,39.1911,644.992,3,March,Wednesday
2025-03-13,620.245,620.5,586.51,590.64,16480324.0,META,33.223,638.3613,3,March,Thursday
2025-03-14,602.805,608.86,594.78,607.6,12364505.0,META,39.2468,634.0789,3,March,Friday
2025-03-17,607.46,613.1,598.0,604.9,15473909.0,META,38.6662,630.3623,3,March,Monday
2025-03-18,600.05,600.25,574.66,582.36,20297708.0,META,34.1277,623.8796,3,March,Tuesday
2025-03-19,584.28,592.3223,574.77,584.06,20537498.0,META,34.7498,618.6216,3,March,Wednesday
2025-03-20,582.755,610.2,579.51,586.0,24336505.0,META,35.4984,612.7914,3,March,Thursday
2025-03-21,583.425,597.545,580.95,596.25,25015864.0,META,39.451,608.6318,3,March,Friday
2025-03-24,614.97,622.54,612.2001,618.85,15741274.0,META,47.1421,607.1605,3,March,Monday
2025-03-25,626.76,633.88,621.18,626.31,15312540.0,META,49.4257,605.0467,3,March,Tuesday
2025-03-26,624.89,626.7499,606.61,610.98,12661891.0,META,45.1125,603.8747,3,March,Wednesday
2025-03-27,602.0,614.25,600.1,602.58,10436524.0,META,42.9032,602.2647,3,March,Thursday
2025-03-28,600.31,601.75,573.92,576.74,17602823.0,META,36.9142,600.7837,3,March,Friday
2025-03-31,563.5,578.7,553.3,576.36,21124677.0,META,36.8328,598.7247,3,March,Monday
2025-04-01,570.84,589.91,570.0,586.0,12836574.0,META,40.4231,596.3657,4,April,Tuesday
2025-04-02,574.91,592.66,573.36,583.93,13470778.0,META,39.8987,595.9229,4,April,Wednesday
2025-04-03,546.22,552.5596,530.3,531.62,34777460.0,META,29.4877,590.4957,4,April,Thursday
2025-04-04,506.62,518.0,494.2,504.73,38589814.0,META,25.7658,583.3407,4,April,Friday
2025-04-07,485.1,539.37,481.9,516.25,36606136.0,META,29.8508,578.6186,4,April,Monday
2025-04-08,543.25,547.43,502.86,510.45,28034211.0,META,28.986,573.3607,4,April,Tuesday
